id,name,reviewed,category_auto,category_truth,category_match,category_fresh,category_freshmatch,footwearSubcategory_auto,footwearSubcategory_truth,footwearSubcategory_match,footwearSubcategory_fresh,footwearSubcategory_freshmatch,primaryColor_auto,primaryColor_truth,primaryColor_match,primaryColor_fresh,primaryColor_freshmatch,formality_auto,formality_truth,formality_match,formality_fresh,formality_freshmatch,warmth_auto,warmth_truth,warmth_match,warmth_fresh,warmth_freshmatch,seasons_auto,seasons_truth,seasons_match,seasons_fresh,seasons_freshmatch,fit_auto,fit_truth,fit_match,fit_fresh,fit_freshmatch,topLength_auto,topLength_truth,topLength_match,topLength_fresh,topLength_freshmatch,bottomVolume_auto,bottomVolume_truth,bottomVolume_match,bottomVolume_fresh,bottomVolume_freshmatch,structure_auto,structure_truth,structure_match,structure_fresh,structure_freshmatch,fabricWeight_auto,fabricWeight_truth,fabricWeight_match,fabricWeight_fresh,fabricWeight_freshmatch,patternType_auto,patternType_truth,patternType_match,patternType_fresh,patternType_freshmatch,patternScale_auto,patternScale_truth,patternScale_match,patternScale_fresh,patternScale_freshmatch,texture_auto,texture_truth,texture_match,texture_fresh,texture_freshmatch,archetype_auto,archetype_truth,archetype_match,archetype_fresh,archetype_freshmatch,feat_descriptor,feat_categoryConfidence,feat_luminanceStdDev,feat_edgeDensity,feat_aspect,feat_fillRatio
959CDCB9-BEDE-4CD6-AE82-A9A983EACF22,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,chocolate,chocolate,1,chocolate,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,wide,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,romantic,romantic,1,romantic,1,skirt,0.9903,0.0723,0.0596,1.2147,0.7139
337F0DBE-2AF6-487C-BF1F-47D736C9C616,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,charcoal,charcoal,1,charcoal,1,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,solid,0,none,small,0,none,0,textured,textured,1,textured,1,preppy,preppy,1,classic,0,pants,0.9986,0.1202,0.1229,1.0463,0.5713
E8D8F75E-A30D-429E-9BAE-3B360CCA8C00,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,mauve,mauve,1,mauve,1,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,classic,0,sporty,0,shorts,0.9998,0.0616,0.0488,0.7442,0.6904
219C13F6-FF89-4FEE-A929-774A8BBAD00A,Bottom,yes,bottom,top,0,bottom,0,,,1,,1,mauve,ivory,0,mauve,0,1,0,0,1,0,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,regular,1,regular,1,,cropped,0,,0,straight,,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,light,0,medium,0,solid,floral,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,romantic,classic,0,romantic,0,skirt,0.9489,0.0555,0.0408,1.1346,0.7295
2F2C3824-588B-4927-ADA2-B22E61AF014D,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,oat,0,sage,0,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,smooth,smooth,1,smooth,1,classic,preppy,0,preppy,1,pants,0.9970,0.0496,0.0319,1.4052,0.5791
4CA0A558-0F7F-43DC-A491-A6D4B4CEBA50,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,sage,1,sage,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,relaxed,0,regular,0,,,1,,1,straight,wide,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,romantic,romantic,1,classic,0,skirt,0.9809,0.0658,0.0335,0.8953,0.6992
6DBD2DD9-5C72-4A5E-B898-EBF0DB0DCA65,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,tobacco,tobacco,1,tobacco,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,slim,0,regular,0,,,1,,1,straight,,0,straight,0,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,boho,romantic,0,romantic,1,skirt,0.7319,0.0988,0.0476,2.0927,0.6953
1466C0FD-8173-4054-A72B-592A4D537EBD,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,forest,navy,0,forest,0,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,romantic,romantic,1,classic,0,skirt,0.8774,0.0687,0.0341,1.0997,0.6729
1F043FB6-236F-4A57-BB96-C09FC3FBC1CC,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,sage,sage,1,sage,1,0,1,0,0,0,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,relaxed,0,regular,0,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,smooth,smooth,1,smooth,1,sporty,preppy,0,sporty,0,shorts,0.9840,0.0423,0.0265,1.3323,0.6025
794533B0-2376-45A8-8045-B8BBABCBA688,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,ink,1,ink,1,0,0,1,0,1,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,classic,minimalist,0,preppy,0,pants,0.9997,0.0615,0.0230,1.3241,0.6104
9BECC841-3E9F-42B4-B65C-CA74A576A246,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,ink,1,ink,1,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,classic,1,preppy,0,pants,0.9990,0.0809,0.0588,1.1467,0.5566
5C5A5A1B-88EE-454E-AB9B-948053E74048,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,rust,rust,1,rust,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,light,0,medium,0,solid,floral,0,solid,0,none,medium,0,none,0,textured,subtleTexture,0,textured,0,classic,boho,0,classic,0,skirt,0.9975,0.1166,0.0859,1.3576,0.5801
9BD9314D-391A-4EBC-9C74-6EC0F032C3DE,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,ink,1,ink,1,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,oversized,0,regular,0,,,1,,1,straight,wide,0,straight,0,semiStructured,soft,0,semiStructured,0,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,classic,classic,1,preppy,0,pants,0.9962,0.0680,0.0305,1.0238,0.6152
820FAC7D-CE06-4F57-B2D2-D5F1F3677B47,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,ink,ink,1,ink,1,1,3,0,1,0,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,,0,straight,0,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,romantic,romantic,1,boho,0,skirt,0.5550,0.0632,0.0173,1.5507,0.5947
05262EBB-D1DF-4E4F-9735-29A05703B511,Bottom,yes,bottom,top,0,bottom,0,,,1,,1,ink,ink,1,ink,1,1,1,1,1,1,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,slim,0,regular,0,,cropped,0,,0,wide,wide,1,wide,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,boho,boho,1,romantic,0,skirt,0.7767,0.0721,0.0504,0.9767,0.8096
F3FFE725-B39D-4C83-8FE9-F4D62BEF02A5,Bottom,yes,bottom,dress,0,bottom,0,,,1,,1,charcoal,charcoal,1,charcoal,1,1,3,0,1,0,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,slim,0,regular,0,,,1,,1,wide,,0,wide,0,semiStructured,soft,0,semiStructured,0,medium,light,0,medium,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,romantic,romantic,1,romantic,1,skirt,0.8462,0.0619,0.0231,2.0625,0.7725
83799912-64A6-4559-BAB8-EB218B33B0A0,Bottom,yes,bottom,top,0,bottom,0,,,1,,1,slate,denim,0,slate,0,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,slim,0,regular,0,,cropped,0,,0,wide,,0,wide,0,semiStructured,semiStructured,1,semiStructured,1,medium,light,0,medium,0,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,classic,0,sporty,0,shorts,0.5289,0.0885,0.0856,0.7488,0.7783
7F614BD0-6CFC-405E-ACD9-C8B4E0E8A901,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,navy,0,ink,0,0,1,0,0,0,1,1,1,1,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,regular,relaxed,0,regular,0,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,classic,1,classic,1,pants,0.9981,0.0568,0.0400,1.2874,0.6055
D453CE79-E102-4F6B-BE09-62319CE2A666,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,chocolate,chocolate,1,chocolate,1,1,0,0,1,0,0,0,1,0,1,autumn+spring+summer,spring+summer,0,autumn+spring+summer,0,regular,relaxed,0,regular,0,,,1,,1,straight,wide,0,straight,0,semiStructured,semiStructured,1,semiStructured,1,medium,light,0,medium,0,,abstract,0,,0,small,small,1,small,1,textured,smooth,0,textured,0,classic,boho,0,romantic,0,skirt,0.9058,0.2618,0.3082,1.2363,0.7070
35F517D9-DE78-4FD9-A6F3-F5D5377AF077,Bottom,yes,bottom,top,0,bottom,0,,,1,,1,chocolate,burgundy,0,chocolate,0,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,slim,0,regular,0,,cropped,0,,0,slim,,0,slim,0,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,boho,0,sporty,0,shorts,0.6573,0.1095,0.0742,1.9861,0.4512
E5209682-ECCC-481B-A168-FDE6E6E95C89,Bottom,yes,bottom,bottom,1,bottom,1,,,1,,1,ink,ink,1,ink,1,1,0,0,1,0,0,0,1,0,1,autumn+spring+summer,autumn+spring+summer,1,autumn+spring+summer,1,regular,regular,1,regular,1,,,1,,1,straight,straight,1,straight,1,semiStructured,semiStructured,1,semiStructured,1,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,textured,smooth,0,textured,0,boho,sporty,0,classic,0,skirt,0.9909,0.1715,0.0392,0.9674,0.6787
10D0D01F-6153-4FD4-A598-9EF3A286E422,Dress,yes,dress,top,0,dress,0,,,1,,1,charcoal,charcoal,1,charcoal,1,1,1,1,1,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,slim,0,regular,0,,cropped,0,,0,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,,abstract,0,,0,small,small,1,small,1,textured,textured,1,textured,1,romantic,romantic,1,romantic,1,dress,0.7904,0.1880,0.1553,2.1500,0.3711
82A6781A-38B5-46DF-9063-E0BA263139B8,Dress,yes,dress,top,0,dress,0,,,1,,1,navy,forest,0,navy,0,1,0,0,1,0,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,slim,0,regular,0,,cropped,0,,0,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,romantic,sporty,0,classic,0,dress,0.7268,0.0688,0.0730,1.0412,0.7383
F7BF076B-1E51-4AA0-8444-D8F7BED821A0,Dress,yes,dress,dress,1,dress,1,,,1,,1,ink,ink,1,ink,1,1,1,1,1,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,,,1,,1,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,,abstract,0,,0,medium,medium,1,medium,1,textured,textured,1,textured,1,classic,classic,1,romantic,0,dress,0.9854,0.2063,0.1204,1.2507,0.6445
8441C3BE-AEEB-4420-B0D9-BE5384AA83BB,Dress,yes,dress,top,0,dress,0,,,1,,1,denim,denim,1,denim,1,1,1,1,1,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,relaxed,0,regular,0,,regular,0,,0,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,solid,stripe,0,solid,0,none,small,0,none,0,textured,subtleTexture,0,textured,0,classic,preppy,0,romantic,0,dress,0.9217,0.1287,0.1384,1.1717,0.5928
7DBDA81E-840D-40E9-AAC7-3DA849875D89,Footwear,yes,footwear,footwear,1,footwear,1,sandal,sandal,1,sandal,1,slate,oat,0,slate,0,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,,,1,,1,,,1,,1,,,1,,1,,,1,,1,,,1,,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,classic,0,sporty,0,shoes,1.0000,0.0934,0.0629,1.0047,0.6963
75555DE4-7A83-406A-99A8-D14522F5A294,Footwear,yes,footwear,footwear,1,footwear,1,athletic,athletic,1,athletic,1,mauve,mauve,1,mauve,1,0,0,1,0,1,0,0,1,0,1,autumn+spring+summer+winter,autumn+spring+summer+winter,1,autumn+spring+summer+winter,1,,,1,,1,,,1,,1,,,1,,1,,,1,,1,,,1,,1,,,1,,1,small,,0,small,0,textured,,0,textured,0,sporty,sporty,1,sporty,1,shoes,1.0000,0.2332,0.1991,1.1436,0.5791
3144A354-1433-4BAD-A0EE-C26DD1471EF4,Outerwear,yes,outerwear,outerwear,1,outerwear,1,,,1,,1,navy,navy,1,navy,1,0,1,0,0,0,2,1,0,2,0,autumn+spring+winter,autumn+spring,0,autumn+spring+winter,0,regular,regular,1,regular,1,,regular,0,,0,,,1,,1,structured,semiStructured,0,structured,0,medium,medium,1,medium,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,classic,classic,1,preppy,0,jacket,0.9639,0.0760,0.0449,0.7674,0.5791
35E1CE58-B787-432F-8422-E2050815ED3A,Top,yes,top,top,1,top,1,,,1,,1,ink,ink,1,ink,1,0,1,0,0,0,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,cropped,regular,0,cropped,0,,,1,,1,soft,semiStructured,0,soft,0,light,light,1,light,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,classic,0,sporty,0,t-shirt,0.6785,0.0686,0.0386,0.8974,0.6855
5DF16845-47C9-4BAC-8E8C-11BDC06517AF,Top,yes,top,top,1,top,1,,,1,,1,slate,slate,1,slate,1,0,0,1,0,1,1,1,1,1,1,autumn+spring+winter,autumn+spring+summer,0,autumn+spring+winter,0,regular,regular,1,regular,1,regular,cropped,0,regular,0,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,classic,classic,1,preppy,0,longsleeve,0.9875,0.0902,0.0839,1.1595,0.4492
92787C9E-43CD-416E-893D-841786BBB636,Top,yes,top,top,1,top,1,,,1,,1,ink,ink,1,ink,1,0,0,1,0,1,1,0,0,1,0,,spring+summer,0,,0,,regular,0,,0,,cropped,0,,0,,,1,,1,,soft,0,,0,,light,0,,0,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,classic,minimalist,0,minimalist,1,,0.0000,0.0771,0.0458,0.9184,0.7158
B9032AA2-6227-406E-8DC3-07CA53A0AA20,Top,yes,top,top,1,top,1,,,1,,1,ink,chocolate,0,ink,0,0,0,1,0,1,1,1,1,1,1,autumn+spring+winter,autumn+spring+winter,1,autumn+spring+winter,1,regular,regular,1,regular,1,regular,regular,1,regular,1,,,1,,1,soft,semiStructured,0,soft,0,light,light,1,light,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,classic,1,classic,1,longsleeve,0.9898,0.0741,0.0572,1.2251,0.5557
37533970-F8CB-4BC8-AA63-DC87EDD19946,Top,yes,top,top,1,top,1,,,1,,1,ink,ink,1,ink,1,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,cropped,cropped,1,cropped,1,,,1,,1,soft,semiStructured,0,soft,0,light,light,1,light,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,subtleTexture,1,subtleTexture,1,sporty,minimalist,0,sporty,0,t-shirt,0.9999,0.0637,0.0271,0.7744,0.6885
2786B042-13C9-478C-AA7A-F962AC65407E,Top,yes,top,top,1,top,1,,,1,,1,slate,slate,1,slate,1,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,cropped,regular,0,cropped,0,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,classic,classic,1,sporty,0,t-shirt,0.7691,0.0642,0.0323,0.8907,0.6982
8B1549F1-603B-4E96-BF59-4E0C382E91B7,Top,yes,top,top,1,top,1,,,1,,1,ink,tobacco,0,ink,0,0,1,0,0,0,0,0,1,0,1,autumn+spring+summer+winter,spring+summer,0,autumn+spring+summer+winter,0,regular,regular,1,regular,1,cropped,cropped,1,cropped,1,,,1,,1,soft,semiStructured,0,soft,0,light,light,1,light,1,solid,stripe,0,solid,0,none,small,0,none,0,subtleTexture,subtleTexture,1,subtleTexture,1,classic,classic,1,classic,1,shirt,0.9895,0.0509,0.0417,0.8488,0.6660
3B1618CF-7E90-4F60-84BE-79B4FA293FB8,Top,yes,top,top,1,top,1,,,1,,1,ink,ink,1,ink,1,0,0,1,0,1,0,0,1,0,1,spring+summer,spring+summer,1,spring+summer,1,regular,regular,1,regular,1,regular,regular,1,regular,1,,,1,,1,soft,soft,1,soft,1,light,light,1,light,1,solid,solid,1,solid,1,none,none,1,none,1,subtleTexture,smooth,0,subtleTexture,0,sporty,sporty,1,sporty,1,t-shirt,1.0000,0.0581,0.0223,1.0697,0.8008
